feature,coefficient,importance
repayment_gap_ratio,1.066958924130714,1.066958924130714
repayment_ratio,0.6530532590487766,0.6530532590487766
loan_to_income_ratio,0.30906653194315215,0.30906653194315215
loan_to_payout_ratio,0.28366425605842216,0.28366425605842216
cancellation_rate_rolling3,-0.2571587038670278,0.2571587038670278
city_Bhubaneswar,-0.25291113644869495,0.25291113644869495
monthly_income,-0.25265766536296613,0.25265766536296613
payout_delay_days_rolling3,0.23614030576853376,0.23614030576853376
city_Pune,-0.22985371179866426,0.22985371179866426
forecast_usage_lag1,0.21040836787461295,0.21040836787461295
city_Chandigarh,-0.19731302129524575,0.19731302129524575
avg_ticket,-0.19244432689318308,0.19244432689318308
income_growth_pct_lag1,-0.17640106339141873,0.17640106339141873
city_Hyderabad,0.1742526664390071,0.1742526664390071
city_Mumbai,0.16968109592115174,0.16968109592115174
liquidity_stress_index,0.16858421011699898,0.16858421011699898
category_appliance_repair,-0.15839119850016775,0.15839119850016775
city_Delhi NCR,0.1481581387357785,0.1481581387357785
platform_commission_pct,0.1324965710635487,0.1324965710635487
digital_tool_usage,-0.13203028578993833,0.13203028578993833
working_capital_gap_rolling3,-0.10974623568698536,0.10974623568698536
technology_adoption_score_lag1,-0.10508438865400312,0.10508438865400312
city_Patna,0.10240094206733838,0.10240094206733838
lock_in_score_lag1,-0.10192338988893901,0.10192338988893901
city_Jaipur,0.10035324220805039,0.10035324220805039
city_Kochi,-0.08972274407031504,0.08972274407031504
payment_success_rate,-0.08313448157819302,0.08313448157819302
category_salon_spa_premium,0.08222911297856687,0.08222911297856687
loan_amount_lag1,-0.0810182307441811,0.0810182307441811
region_North,0.07820151022681734,0.07820151022681734
credit_dependency_score,-0.07395119036031497,0.07395119036031497
payout_volatility_rolling3,-0.07381166955158973,0.07381166955158973
digital_readiness,-0.07361338313031944,0.07361338313031944
tenure_days,-0.07356183367534119,0.07356183367534119
category_home_cleaning,0.07340766966932095,0.07340766966932095
region_East,-0.07333907423443481,0.07333907423443481
working_capital_gap_lag1,-0.07226093910192953,0.07226093910192953
rating_rolling3,-0.06886308425500189,0.06886308425500189
active_provider_month_flag_lag1,-0.06562832815504997,0.06562832815504997
category_beauty_wellness,0.05409804582782495,0.05409804582782495
city_Surat,-0.05406259092833069,0.05406259092833069
region_West,-0.050961996626713815,0.050961996626713815
category_plumbing_electrical,-0.050256353132184836,0.050256353132184836
agentic_intelligence_score_lag1,0.04937049401139341,0.04937049401139341
city_Bengaluru,-0.04670253643978745,0.04670253643978745
city_Lucknow,0.04425937893113815,0.04425937893113815
prior_default_count,-0.03980950376660168,0.03980950376660168
city_Kolkata,0.038656068196888445,0.038656068196888445
kyc_flag,-0.03504856924174807,0.03504856924174807
multi_product_adoption,-0.024133398127879586,0.024133398127879586
payout_delay_days_lag1_imputed,-0.021336709665231907,0.021336709665231907
loan_offer_flag_lag1,-0.01969915730157343,0.01969915730157343
region_South,0.019322252376142594,0.019322252376142594
transaction_velocity,-0.01780615443085238,0.01780615443085238
repeat_customer_rate,-0.012602354996452465,0.012602354996452465
ai_adoption_score,0.008942499485747862,0.008942499485747862
city_Ahmedabad,-0.007788626144436652,0.007788626144436652
prior_default_flag,-0.007184493039431637,0.007184493039431637
agent_usage_flag,-0.0069817590888717135,0.0069817590888717135
city_Guwahati,-0.00361300734487187,0.00361300734487187
city_Chennai,-0.002167112621414151,0.002167112621414151
