merchant_id,region,city,business_type,tenure_days,avg_ticket,monthly_income,repeat_customer_rate,kyc_flag,treatment_flag,treatment_start_month,intervention_timestamp,primary_match_level,survey_response_count,survey_digital_adoption_prior,survey_cashflow_stress_prior,survey_settlement_pain_prior,survey_credit_need_prior,survey_business_growth_prior,survey_repeat_customer_prior,survey_ai_usage_prior,survey_faster_payout_value_prior,avg_technology_adoption_score,avg_working_capital_gap,avg_payout_delay_days,loan_offer_rate,avg_loan_amount,default_rate,avg_lock_in_score,avg_advancement_score,avg_agentic_intelligence_score,upi_share,avg_settlement_delay,avg_service_completion_rate,active_provider_month_rate,technology_adoption_score_blended,working_capital_gap_blended,payout_delay_days_blended,loan_uptake_propensity_blended,advancement_score_blended,lock_in_score_blended,agentic_intelligence_score_blended,settlement_credit_stress,digital_growth_index,credit_dependency_score_primary_informed,settlement_experience_index
UC00000001,South,Hyderabad,salon_spa_premium,859,1205.17,47338.82,0.4738,True,False,0,,overall_prior,30.0,0.6416666666666667,0.6916666666666667,0.9333333333333333,0.8666666666666667,0.7583333333333333,0.7166666666666667,0.6,0.9333333333333333,0.8994620689655172,2867.918620689655,3.7748275862068965,0.4482758620689655,2324.5355172413792,0.034482758620689655,0.5912551724137931,0.5674724137931035,0.3755,0.7223628691983123,1.5723611814345992,0.9603573839662447,1.0,0.822123448275862,0.6695832533473854,0.8379253026239131,0.5700108816673826,0.6247306896551724,0.662854438053989,0.44284999999999997,0.794440490590657,0.705026160046559,0.5788845317142363,0.15053239993641077
UC00000002,North,Jaipur,beauty_wellness,828,1007.48,31257.31,0.4565,True,False,0,,overall_prior,30.0,0.6416666666666667,0.6916666666666667,0.9333333333333333,0.8666666666666667,0.7583333333333333,0.7166666666666667,0.6,0.9333333333333333,0.8337931034482758,619.0996551724138,4.247,0.20689655172413793,294.96862068965515,0.0,0.21485517241379312,0.19500344827586208,0.7280896551724138,0.7374631268436578,1.747536873156342,0.9544156342182891,0.3448275862068966,0.7761551724137931,0.29178288860815055,0.938921221168582,0.4046789520271391,0.3640024137931034,0.34546542221671006,0.6896627586206896,0.6786689161855972,0.6361216943342488,0.4025058331252772,0.08591274805058147
UC00000003,South,Kochi,home_cleaning,253,1811.27,59727.09,0.3257,True,True,7,2024-07-01,overall_prior,30.0,0.6416666666666667,0.6916666666666667,0.9333333333333333,0.8666666666666667,0.7583333333333333,0.7166666666666667,0.6,0.9333333333333333,0.8113827586206896,1539.7993103448275,2.15,0.20689655172413793,1820.653103448276,0.0,0.35261379310344826,0.3051758620689655,0.4267310344827586,0.7710622710622711,0.8246282051282051,0.9602575091575092,0.5517241379310345,0.7604679310344827,0.4464599305902385,0.49038074103589013,0.4473104410360642,0.4411231034482758,0.45820738696431695,0.478711724137931,0.5835505649319903,0.6386077300745232,0.46382996687302736,0.42635973738015354
UC00000004,North,Lucknow,beauty_wellness,737,1116.5,49494.82,0.4299,True,True,7,2024-07-01,overall_prior,30.0,0.6416666666666667,0.6916666666666667,0.9333333333333333,0.8666666666666667,0.7583333333333333,0.7166666666666667,0.6,0.9333333333333333,0.7997689655172414,1425.0958620689655,1.55,0.6551724137931034,7873.737931034482,0.0,0.7380103448275862,0.6181586206896552,0.41005172413793106,0.7866756393001346,0.5527065948855989,0.9633948855989233,1.0,0.7523382758620689,0.42718981358217534,0.36204297848004124,0.7981609195402299,0.6602110344827585,0.7587018473425395,0.46703620689655173,0.530924301234218,0.7030373692393372,0.5808465992470664,0.5266674891087593
UC00000005,West,Ahmedabad,appliance_repair,696,1016.6,30484.43,0.5431,True,False,0,,business_type_region,1.0,0.5,0.5,0.75,1.0,0.5,0.5,1.0,0.75,0.6612827586206896,2019.1458620689657,3.5072413793103445,0.27586206896551724,1408.2034482758618,0.0,0.5703724137931034,0.6042896551724138,0.23,0.7641509433962265,1.7497893081761007,0.9513728511530398,1.0,0.6128979310344828,0.46948989091820137,0.7256896108173965,0.5134867023603564,0.5730027586206896,0.5946373290698621,0.46099999999999997,0.6292873201533693,0.6159901886792454,0.5205673131015851,0.16758185898462896
UC00000006,South,Hyderabad,plumbing_electrical,713,782.22,17921.63,0.421,True,False,0,,business_type_region,4.0,0.5625,0.6875,0.875,0.75,0.625,0.5625,0.5,0.875,0.7833206896551724,1099.6406896551723,3.5224137931034485,0.13793103448275862,186.0,0.0,0.6126758620689656,0.6314862068965517,0.7180275862068966,0.7549575070821529,1.6528286118980169,0.9541087818696885,1.0,0.7170744827586206,0.3712635213907668,0.766434933548694,0.3297662766554674,0.6295403448275861,0.6373343359516759,0.6526193103448276,0.6355076352983495,0.6919453290026374,0.37679725324664365,0.14709918707972758
UC00000007,West,Pune,home_cleaning,449,986.92,22409.88,0.4699,True,True,10,2024-10-01,business_type_region,3.0,0.3333333333333333,0.5,0.75,0.3333333333333333,0.6666666666666666,0.5833333333333334,0.0,0.75,0.9144413793103447,455.3093103448276,1.8344827586206898,0.3103448275862069,1324.3606896551723,0.0,0.6938896551724139,0.654548275862069,0.36452758620689657,0.776500638569604,0.66185312899106,0.9697475095785442,1.0,0.7401089655172413,0.20676619964141804,0.3678927796918662,0.29332783135666185,0.6581837931034482,0.6961376474634144,0.2551693103448276,0.39896895274872035,0.6743157828863344,0.23136126753392372,0.5689049905330836
UC00000008,North,Delhi NCR,salon_spa_premium,810,1865.08,62030.3,0.3254,True,False,0,,overall_prior,30.0,0.6416666666666667,0.6916666666666667,0.9333333333333333,0.8666666666666667,0.7583333333333333,0.7166666666666667,0.6,0.9333333333333333,0.838248275862069,4243.402413793104,3.5655172413793106,0.3793103448275862,2297.2282758620686,0.0,0.5451482758620689,0.5426931034482758,0.34659999999999996,0.763915547024952,1.6422101727447216,0.9543992322456815,1.0,0.7792737931034482,0.9006637834815062,0.7931546003989705,0.5382133654153483,0.6073851724137931,0.6329862384211357,0.42261999999999994,0.8712029568655755,0.6889701783705077,0.6319071462731571,0.12476616799707263
UC00000009,North,Delhi NCR,beauty_wellness,1081,1132.08,59204.06,0.4361,True,True,5,2024-05-01,overall_prior,30.0,0.6416666666666667,0.6916666666666667,0.9333333333333333,0.8666666666666667,0.7583333333333333,0.7166666666666667,0.6,0.9333333333333333,0.6727931034482758,951.051724137931,1.7473333333333334,0.3103448275862069,3683.3713793103443,0.0,0.3570758620689655,0.2913137931034483,0.7054,0.7956730769230769,0.7380673076923077,0.9581393028846155,0.5172413793103449,0.663455172413793,0.3475506558913968,0.4042518426095204,0.5459112320692383,0.43141965517241376,0.45743293257990136,0.67378,0.5138417406032242,0.6213205809018568,0.46866746132498577,0.4582907376476889
UC00000010,West,Ahmedabad,beauty_wellness,1488,1145.31,26639.53,0.5721,True,False,0,,business_type_region,17.0,0.75,0.75,1.0,0.9411764705882353,0.8529411764705882,0.8235294117647058,0.7058823529411765,1.0,0.7208206896551724,1260.168275862069,3.5189473684210526,0.1724137931034483,411.7144827586207,0.0,0.3796827586206896,0.3608896551724138,0.4361206896551724,0.7021276595744681,1.8059297872340425,0.9535431914893617,0.6551724137931034,0.7295744827586207,0.4169820686814223,0.8031934782356822,0.41850231712399516,0.5085051115618661,0.5136559520449154,0.5170491886409736,0.6979105448550577,0.6365117773509991,0.45980572571547207,0.03437248899287004
