model,feature,coefficient,importance
embedded_finance_adoption,treatment_flag,1.549586940473863,1.549586940473863
embedded_finance_adoption,post_treatment_flag,1.5170889400868017,1.5170889400868017
embedded_finance_adoption,months_since_intervention,1.3400239275260521,1.3400239275260521
embedded_finance_adoption,treatment_start_month,0.7876905702573517,0.7876905702573517
embedded_finance_adoption,tenure_days,0.28358545011924646,0.28358545011924646
embedded_finance_adoption,pre_treatment_flag,0.18756622226968334,0.18756622226968334
embedded_finance_adoption,kyc_flag,0.1791048323650037,0.1791048323650037
embedded_finance_adoption,lock_in_score_lag1,0.1722575224171787,0.1722575224171787
embedded_finance_adoption,payout_pain_gap,0.1299801863351372,0.1299801863351372
embedded_finance_adoption,category_plumbing_electrical,-0.128579901617039,0.128579901617039
embedded_finance_adoption,category_beauty_wellness,0.11940783707531218,0.11940783707531218
embedded_finance_adoption,payout_delay_days_lag1_imputed,-0.10199779043770044,0.10199779043770044
embedded_finance_adoption,category_appliance_repair,-0.10105933104294108,0.10105933104294108
embedded_finance_adoption,digital_finance_readiness,0.0963899081638601,0.0963899081638601
embedded_finance_adoption,lockin_resilience_score,0.09130334559979528,0.09130334559979528
embedded_finance_adoption,platform_commission_pct,0.09088957433996209,0.09088957433996209
embedded_finance_adoption,city_Chennai,0.08987700472203726,0.08987700472203726
embedded_finance_adoption,city_Kochi,0.08941898225271712,0.08941898225271712
embedded_finance_adoption,region_South,0.08885871719219113,0.08885871719219113
embedded_finance_adoption,settlement_credit_stress,-0.08843154259496053,0.08843154259496053
embedded_finance_adoption,rating_rolling3,0.0870236057128762,0.0870236057128762
embedded_finance_adoption,loan_amount_lag1,0.08630640317247425,0.08630640317247425
embedded_finance_adoption,income_growth_pct_lag1,-0.08608022557236575,0.08608022557236575
embedded_finance_adoption,cancellation_rate_rolling3,-0.08457884174385022,0.08457884174385022
embedded_finance_adoption,payout_volatility_rolling3,0.08457691392454152,0.08457691392454152
embedded_finance_adoption,category_salon_spa_premium,0.08321011382297511,0.08321011382297511
embedded_finance_adoption,payout_delay_days_rolling3,-0.07950604132756575,0.07950604132756575
embedded_finance_adoption,region_East,-0.07747229594265553,0.07747229594265553
embedded_finance_adoption,month_index,0.07066521482139496,0.07066521482139496
embedded_finance_adoption,city_Surat,0.06995291842061724,0.06995291842061724
embedded_finance_adoption,city_Patna,-0.06582938865311976,0.06582938865311976
embedded_finance_adoption,city_Jaipur,-0.060536110846556974,0.060536110846556974
embedded_finance_adoption,region_North,-0.05991012449006522,0.05991012449006522
embedded_finance_adoption,technology_adoption_score_lag1,0.049062360325177294,0.049062360325177294
embedded_finance_adoption,city_Kolkata,-0.043224205363037935,0.043224205363037935
embedded_finance_adoption,transaction_velocity,0.04188078741450622,0.04188078741450622
embedded_finance_adoption,digital_tool_usage,-0.04175949407270119,0.04175949407270119
embedded_finance_adoption,working_capital_gap_lag1,-0.04079752578211129,0.04079752578211129
embedded_finance_adoption,primary_ai_usage_prior,-0.04073270334583681,0.04073270334583681
embedded_finance_adoption,repayment_pressure_index,0.035275660908966555,0.035275660908966555
embedded_finance_adoption,monthly_income,0.03450955945627955,0.03450955945627955
embedded_finance_adoption,primary_credit_need_prior,-0.034073302948772685,0.034073302948772685
embedded_finance_adoption,repeat_customer_rate,0.033937234266763025,0.033937234266763025
embedded_finance_adoption,city_Hyderabad,-0.03065635276163834,0.03065635276163834
embedded_finance_adoption,city_Pune,-0.029678522016059347,0.029678522016059347
embedded_finance_adoption,primary_credit_amount_prior,-0.028011004447839074,0.028011004447839074
embedded_finance_adoption,primary_growth_prior,0.02592376886704958,0.02592376886704958
embedded_finance_adoption,ai_adoption_score,-0.025688310432335874,0.025688310432335874
embedded_finance_adoption,city_Guwahati,-0.025299883575127635,0.025299883575127635
embedded_finance_adoption,city_Delhi NCR,-0.024032669197467247,0.024032669197467247
embedded_finance_adoption,region_West,0.022725663763972004,0.022725663763972004
embedded_finance_adoption,city_Bhubaneswar,-0.02214382143488555,0.02214382143488555
embedded_finance_adoption,primary_repeat_customer_prior,0.021624658911853646,0.021624658911853646
embedded_finance_adoption,avg_ticket,0.01970160366917485,0.01970160366917485
embedded_finance_adoption,active_provider_month_flag_lag1,0.01956422478010881,0.01956422478010881
embedded_finance_adoption,agent_usage_flag,-0.01919739294498906,0.01919739294498906
embedded_finance_adoption,city_Bengaluru,0.01894483159202939,0.01894483159202939
embedded_finance_adoption,primary_digital_adoption_prior,0.016907664621022736,0.016907664621022736
