feature,coefficient,importance
settlement_delay_days,-2.210346656633533,2.210346656633533
kyc_flag,0.7976385108078494,0.7976385108078494
cashflow_issue,-0.5981550304554525,0.5981550304554525
business_growth_after_digital,-0.47840186358834275,0.47840186358834275
needed_business_credit_binary,0.2474292204955208,0.2474292204955208
category_appliance_repair,-0.1184435738912021,0.1184435738912021
category_plumbing_electrical,-0.1145424334305977,0.1145424334305977
city_Surat,0.11362317712183968,0.11362317712183968
tenure_days,0.1082475077596779,0.1082475077596779
category_home_cleaning,0.10769414378487414,0.10769414378487414
city_Ahmedabad,-0.09482621752003423,0.09482621752003423
city_Kolkata,-0.09466646055543718,0.09466646055543718
loan_history,0.08717953787203919,0.08717953787203919
category_salon_spa_premium,0.08612833721198322,0.08612833721198322
city_Chennai,0.0785254625464068,0.0785254625464068
avg_ticket,-0.076200914342617,0.076200914342617
city_Patna,0.06681130612902214,0.06681130612902214
city_Kochi,0.05681339988846199,0.05681339988846199
city_Mumbai,-0.05304689812604482,0.05304689812604482
transaction_velocity,0.05294245840723799,0.05294245840723799
payment_success_rate,-0.048985415876591144,0.048985415876591144
platform_commission_pct,-0.047754869413101315,0.047754869413101315
city_Delhi NCR,0.044894168171372276,0.044894168171372276
category_beauty_wellness,0.04457940640242704,0.04457940640242704
ai_adoption_score,0.04306862066435392,0.04306862066435392
UPI_usage_frequency,-0.04281413619481625,0.04281413619481625
region_East,-0.03971038167014429,0.03971038167014429
city_Bengaluru,-0.033741260933030585,0.033741260933030585
digital_tool_usage,-0.03292915313110146,0.03292915313110146
digital_adoption_score,-0.03292915313110146,0.03292915313110146
city_Hyderabad,-0.03238181576840542,0.03238181576840542
region_South,0.030274611159880078,0.030274611159880078
city_Pune,0.029509061637222438,0.029509061637222438
city_Chandigarh,-0.025668412473903283,0.025668412473903283
multi_product_adoption,0.02431882730810189,0.02431882730810189
monthly_income,-0.021135081910269856,0.021135081910269856
city_Guwahati,-0.020541722028302345,0.020541722028302345
region_West,-0.02027718980910562,0.02027718980910562
repeat_customer_rate,-0.017751883488902585,0.017751883488902585
repeat_customer_change,-0.017751883488902585,0.017751883488902585
city_Jaipur,-0.0170128383672184,0.0170128383672184
agent_usage_flag,-0.016959977305481832,0.016959977305481832
region_North,0.015162122140489178,0.015162122140489178
city_Lucknow,0.010329442805457048,0.010329442805457048
city_Bhubaneswar,0.009772284880442152,0.009772284880442152
