provider_id,month,default_probability,risk_band,city,business_type
UC00000001,2024-01,0.16161780959700814,Low,Hyderabad,salon_spa_premium
UC00000001,2024-02,0.1363307919731554,Low,Hyderabad,salon_spa_premium
UC00000001,2024-03,0.1369595718672345,Low,Hyderabad,salon_spa_premium
UC00000001,2024-04,0.1214272052412522,Low,Hyderabad,salon_spa_premium
UC00000001,2024-05,0.12582451680703716,Low,Hyderabad,salon_spa_premium
UC00000001,2024-06,0.12163246408024112,Low,Hyderabad,salon_spa_premium
UC00000001,2024-07,0.12644139636589402,Low,Hyderabad,salon_spa_premium
UC00000001,2024-08,0.13316468836485676,Low,Hyderabad,salon_spa_premium
UC00000001,2024-09,0.13115533189314124,Low,Hyderabad,salon_spa_premium
UC00000001,2024-10,0.13253212708076714,Low,Hyderabad,salon_spa_premium
UC00000001,2024-11,0.131452391398783,Low,Hyderabad,salon_spa_premium
UC00000001,2024-12,0.12592867363371987,Low,Hyderabad,salon_spa_premium
UC00000002,2024-01,0.06550163353849231,Low,Jaipur,beauty_wellness
UC00000002,2024-02,0.0662999526829741,Low,Jaipur,beauty_wellness
UC00000002,2024-03,0.08387477923127237,Low,Jaipur,beauty_wellness
UC00000002,2024-04,0.06680760545714465,Low,Jaipur,beauty_wellness
UC00000002,2024-05,0.07232397287340042,Low,Jaipur,beauty_wellness
UC00000002,2024-06,0.06597352159726391,Low,Jaipur,beauty_wellness
UC00000002,2024-07,0.06834706905045031,Low,Jaipur,beauty_wellness
UC00000002,2024-08,0.06280004700377735,Low,Jaipur,beauty_wellness
UC00000002,2024-09,0.06512659825000355,Low,Jaipur,beauty_wellness
UC00000002,2024-10,0.0679504605284161,Low,Jaipur,beauty_wellness
UC00000002,2024-11,0.09158195221227408,Low,Jaipur,beauty_wellness
UC00000002,2024-12,0.06971465952715197,Low,Jaipur,beauty_wellness
UC00000003,2024-01,0.08363670748692623,Low,Kochi,home_cleaning
UC00000003,2024-02,0.0683447295808895,Low,Kochi,home_cleaning
UC00000003,2024-03,0.0838056272909108,Low,Kochi,home_cleaning
UC00000003,2024-04,0.05556144082398384,Low,Kochi,home_cleaning
UC00000003,2024-05,0.05375994309821016,Low,Kochi,home_cleaning
UC00000003,2024-06,0.052398844087010066,Low,Kochi,home_cleaning
UC00000003,2024-07,0.03790481447429497,Low,Kochi,home_cleaning
UC00000003,2024-08,0.04003800055307207,Low,Kochi,home_cleaning
UC00000003,2024-09,0.054381055305634474,Low,Kochi,home_cleaning
UC00000003,2024-10,0.05677614520399774,Low,Kochi,home_cleaning
UC00000003,2024-11,0.05307918150284521,Low,Kochi,home_cleaning
UC00000003,2024-12,0.048540192367961546,Low,Kochi,home_cleaning
UC00000004,2024-01,0.1001131117258466,Low,Lucknow,beauty_wellness
UC00000004,2024-02,0.12036465295256728,Low,Lucknow,beauty_wellness
UC00000004,2024-03,0.08844130405729017,Low,Lucknow,beauty_wellness
UC00000004,2024-04,0.06339301438081782,Low,Lucknow,beauty_wellness
UC00000004,2024-05,0.07073411506348348,Low,Lucknow,beauty_wellness
UC00000004,2024-06,0.07120083968624043,Low,Lucknow,beauty_wellness
UC00000004,2024-07,0.07131495334690285,Low,Lucknow,beauty_wellness
UC00000004,2024-08,0.05760235475677902,Low,Lucknow,beauty_wellness
UC00000004,2024-09,0.06220691917422348,Low,Lucknow,beauty_wellness
UC00000004,2024-10,0.06865321347338905,Low,Lucknow,beauty_wellness
UC00000004,2024-11,0.06258304789307956,Low,Lucknow,beauty_wellness
UC00000004,2024-12,0.06946034597779668,Low,Lucknow,beauty_wellness
UC00000005,2024-01,0.06310652582699489,Low,Ahmedabad,appliance_repair
UC00000005,2024-02,0.06399845577580332,Low,Ahmedabad,appliance_repair
UC00000005,2024-03,0.07182926799670339,Low,Ahmedabad,appliance_repair
UC00000005,2024-04,0.06412367954004201,Low,Ahmedabad,appliance_repair
UC00000005,2024-05,0.08148537731062454,Low,Ahmedabad,appliance_repair
UC00000005,2024-06,0.0669922374864946,Low,Ahmedabad,appliance_repair
UC00000005,2024-07,0.06261883691588911,Low,Ahmedabad,appliance_repair
UC00000005,2024-08,0.06330112791135259,Low,Ahmedabad,appliance_repair
UC00000005,2024-09,0.0657783224666546,Low,Ahmedabad,appliance_repair
UC00000005,2024-10,0.06933300938580714,Low,Ahmedabad,appliance_repair
UC00000005,2024-11,0.07117148653882799,Low,Ahmedabad,appliance_repair
UC00000005,2024-12,0.06364139621364673,Low,Ahmedabad,appliance_repair
UC00000006,2024-01,0.13480057633323714,Low,Hyderabad,plumbing_electrical
UC00000006,2024-02,0.14166679268333868,Low,Hyderabad,plumbing_electrical
UC00000006,2024-03,0.12865953682997647,Low,Hyderabad,plumbing_electrical
UC00000006,2024-04,0.1306859323755181,Low,Hyderabad,plumbing_electrical
UC00000006,2024-05,0.178808434457003,Low,Hyderabad,plumbing_electrical
UC00000006,2024-06,0.13241939053139407,Low,Hyderabad,plumbing_electrical
UC00000006,2024-07,0.12580348507497371,Low,Hyderabad,plumbing_electrical
UC00000006,2024-08,0.12402587530090095,Low,Hyderabad,plumbing_electrical
UC00000006,2024-09,0.1294570224205489,Low,Hyderabad,plumbing_electrical
UC00000006,2024-10,0.1263083055126973,Low,Hyderabad,plumbing_electrical
UC00000006,2024-11,0.14174094369132506,Low,Hyderabad,plumbing_electrical
UC00000006,2024-12,0.13255323966955793,Low,Hyderabad,plumbing_electrical
UC00000007,2024-01,0.09586311773812126,Low,Pune,home_cleaning
UC00000007,2024-02,0.10101458628281533,Low,Pune,home_cleaning
UC00000007,2024-03,0.10318746756752127,Low,Pune,home_cleaning
UC00000007,2024-04,0.09975838496572788,Low,Pune,home_cleaning
UC00000007,2024-05,0.07765371556642549,Low,Pune,home_cleaning
UC00000007,2024-06,0.07798157663254787,Low,Pune,home_cleaning
UC00000007,2024-07,0.07863662347107432,Low,Pune,home_cleaning
UC00000007,2024-08,0.07641926958885513,Low,Pune,home_cleaning
UC00000007,2024-09,0.0794336214182452,Low,Pune,home_cleaning
UC00000007,2024-10,0.0763601568083963,Low,Pune,home_cleaning
UC00000007,2024-11,0.07544572226533329,Low,Pune,home_cleaning
UC00000007,2024-12,0.07378778846833475,Low,Pune,home_cleaning
UC00000008,2024-01,0.12465283023504112,Low,Delhi NCR,salon_spa_premium
UC00000008,2024-02,0.08906706800574123,Low,Delhi NCR,salon_spa_premium
UC00000008,2024-03,0.08713008761323553,Low,Delhi NCR,salon_spa_premium
UC00000008,2024-04,0.09428608439676456,Low,Delhi NCR,salon_spa_premium
UC00000008,2024-05,0.0814663670575318,Low,Delhi NCR,salon_spa_premium
UC00000008,2024-06,0.08317221629266477,Low,Delhi NCR,salon_spa_premium
UC00000008,2024-07,0.08107427948184452,Low,Delhi NCR,salon_spa_premium
UC00000008,2024-08,0.09334774212673928,Low,Delhi NCR,salon_spa_premium
UC00000008,2024-09,0.094866916461548,Low,Delhi NCR,salon_spa_premium
UC00000008,2024-10,0.10476431279610388,Low,Delhi NCR,salon_spa_premium
UC00000008,2024-11,0.08696742010497842,Low,Delhi NCR,salon_spa_premium
UC00000008,2024-12,0.07670284607591357,Low,Delhi NCR,salon_spa_premium
UC00000009,2024-01,0.15547121623910096,Low,Delhi NCR,beauty_wellness
UC00000009,2024-02,0.14717525495650555,Low,Delhi NCR,beauty_wellness
UC00000009,2024-03,0.10838790925905385,Low,Delhi NCR,beauty_wellness
UC00000009,2024-04,0.113395119610262,Low,Delhi NCR,beauty_wellness
UC00000009,2024-05,0.08736890355003302,Low,Delhi NCR,beauty_wellness
UC00000009,2024-06,0.10831522996172553,Low,Delhi NCR,beauty_wellness
UC00000009,2024-07,0.08703747433890786,Low,Delhi NCR,beauty_wellness
UC00000009,2024-08,0.07940860053687117,Low,Delhi NCR,beauty_wellness
UC00000009,2024-09,0.11300386296728125,Low,Delhi NCR,beauty_wellness
UC00000009,2024-10,0.10694777824279968,Low,Delhi NCR,beauty_wellness
UC00000009,2024-11,0.1033981572466996,Low,Delhi NCR,beauty_wellness
UC00000009,2024-12,0.09329684051098129,Low,Delhi NCR,beauty_wellness
UC00000010,2024-01,0.07249056362780913,Low,Ahmedabad,beauty_wellness
UC00000010,2024-02,0.07205789222133084,Low,Ahmedabad,beauty_wellness
UC00000010,2024-03,0.07251336957302619,Low,Ahmedabad,beauty_wellness
UC00000010,2024-04,0.07892612920740269,Low,Ahmedabad,beauty_wellness
UC00000010,2024-05,0.07061629694358548,Low,Ahmedabad,beauty_wellness
UC00000010,2024-06,0.07315780462176476,Low,Ahmedabad,beauty_wellness
UC00000010,2024-07,0.07539775451425251,Low,Ahmedabad,beauty_wellness
UC00000010,2024-08,0.06892847322078263,Low,Ahmedabad,beauty_wellness
UC00000010,2024-09,0.07665672150782497,Low,Ahmedabad,beauty_wellness
UC00000010,2024-10,0.06741323620950704,Low,Ahmedabad,beauty_wellness
UC00000010,2024-11,0.06922220670181506,Low,Ahmedabad,beauty_wellness
UC00000010,2024-12,0.07221967668586175,Low,Ahmedabad,beauty_wellness
UC00000011,2024-01,0.1247819178887123,Low,Jaipur,beauty_wellness
UC00000011,2024-02,0.11160204250042859,Low,Jaipur,beauty_wellness
UC00000011,2024-03,0.11285907857786105,Low,Jaipur,beauty_wellness
UC00000011,2024-04,0.11249793350969327,Low,Jaipur,beauty_wellness
UC00000011,2024-05,0.08339273736615992,Low,Jaipur,beauty_wellness
UC00000011,2024-06,0.06379372361340555,Low,Jaipur,beauty_wellness
UC00000011,2024-07,0.07643438044664794,Low,Jaipur,beauty_wellness
UC00000011,2024-08,0.0700725323480623,Low,Jaipur,beauty_wellness
UC00000011,2024-09,0.07475264228622369,Low,Jaipur,beauty_wellness
UC00000011,2024-10,0.07155449941396388,Low,Jaipur,beauty_wellness
UC00000011,2024-11,0.054722689550631226,Low,Jaipur,beauty_wellness
UC00000011,2024-12,0.07684107603769678,Low,Jaipur,beauty_wellness
UC00000012,2024-01,0.09553352214318885,Low,Bengaluru,salon_spa_premium
UC00000012,2024-02,0.06752136825175695,Low,Bengaluru,salon_spa_premium
UC00000012,2024-03,0.06314004586158453,Low,Bengaluru,salon_spa_premium
UC00000012,2024-04,0.06279373551159413,Low,Bengaluru,salon_spa_premium
UC00000012,2024-05,0.06910757146015566,Low,Bengaluru,salon_spa_premium
UC00000012,2024-06,0.07300321864649796,Low,Bengaluru,salon_spa_premium
UC00000012,2024-07,0.07073013866797011,Low,Bengaluru,salon_spa_premium
UC00000012,2024-08,0.07351562802719332,Low,Bengaluru,salon_spa_premium
UC00000012,2024-09,0.06627854500869086,Low,Bengaluru,salon_spa_premium
UC00000012,2024-10,0.06733085171210489,Low,Bengaluru,salon_spa_premium
UC00000012,2024-11,0.07362393569317317,Low,Bengaluru,salon_spa_premium
UC00000012,2024-12,0.06757086680400881,Low,Bengaluru,salon_spa_premium
UC00000013,2024-01,0.07738320010552517,Low,Mumbai,plumbing_electrical
UC00000013,2024-02,0.06814580618604653,Low,Mumbai,plumbing_electrical
UC00000013,2024-03,0.07327510130411886,Low,Mumbai,plumbing_electrical
UC00000013,2024-04,0.07430209024984075,Low,Mumbai,plumbing_electrical
UC00000013,2024-05,0.07695820732950526,Low,Mumbai,plumbing_electrical
UC00000013,2024-06,0.09337879539584229,Low,Mumbai,plumbing_electrical
UC00000013,2024-07,0.08088946988335631,Low,Mumbai,plumbing_electrical
UC00000013,2024-08,0.07317257346919517,Low,Mumbai,plumbing_electrical
UC00000013,2024-09,0.07580618817020132,Low,Mumbai,plumbing_electrical
UC00000013,2024-10,0.0802935119647383,Low,Mumbai,plumbing_electrical
UC00000013,2024-11,0.09591790817479992,Low,Mumbai,plumbing_electrical
UC00000013,2024-12,0.09903991476971383,Low,Mumbai,plumbing_electrical
UC00000014,2024-01,0.10656669868896805,Low,Bengaluru,home_cleaning
UC00000014,2024-02,0.08399411933639435,Low,Bengaluru,home_cleaning
UC00000014,2024-03,0.08313075269591183,Low,Bengaluru,home_cleaning
UC00000014,2024-04,0.0831242422375533,Low,Bengaluru,home_cleaning
UC00000014,2024-05,0.0842412484007087,Low,Bengaluru,home_cleaning
UC00000014,2024-06,0.08492983395189509,Low,Bengaluru,home_cleaning
UC00000014,2024-07,0.08411881490743948,Low,Bengaluru,home_cleaning
UC00000014,2024-08,0.08383942890359926,Low,Bengaluru,home_cleaning
UC00000014,2024-09,0.07979420502854304,Low,Bengaluru,home_cleaning
UC00000014,2024-10,0.08360391244184702,Low,Bengaluru,home_cleaning
UC00000014,2024-11,0.06567542071473172,Low,Bengaluru,home_cleaning
UC00000014,2024-12,0.0834215910309022,Low,Bengaluru,home_cleaning
UC00000015,2024-01,0.10394488450841206,Low,Chandigarh,plumbing_electrical
UC00000015,2024-02,0.08312878975630772,Low,Chandigarh,plumbing_electrical
UC00000015,2024-03,0.08470113204047276,Low,Chandigarh,plumbing_electrical
UC00000015,2024-04,0.08930219993829644,Low,Chandigarh,plumbing_electrical
UC00000015,2024-05,0.08825780854026893,Low,Chandigarh,plumbing_electrical
UC00000015,2024-06,0.08542848485343196,Low,Chandigarh,plumbing_electrical
UC00000015,2024-07,0.08535526040706258,Low,Chandigarh,plumbing_electrical
UC00000015,2024-08,0.06653890446721876,Low,Chandigarh,plumbing_electrical
UC00000015,2024-09,0.06769067311266627,Low,Chandigarh,plumbing_electrical
UC00000015,2024-10,0.06576552043006557,Low,Chandigarh,plumbing_electrical
UC00000015,2024-11,0.06613863355969488,Low,Chandigarh,plumbing_electrical
UC00000015,2024-12,0.06519179069241314,Low,Chandigarh,plumbing_electrical
UC00000016,2024-01,0.1591998261215824,Low,Delhi NCR,home_cleaning
UC00000016,2024-02,0.14871269151289104,Low,Delhi NCR,home_cleaning
UC00000016,2024-03,0.16177217143578218,Low,Delhi NCR,home_cleaning
UC00000016,2024-04,0.11384039959415372,Low,Delhi NCR,home_cleaning
UC00000016,2024-05,0.11202618985514956,Low,Delhi NCR,home_cleaning
UC00000016,2024-06,0.11324886689887227,Low,Delhi NCR,home_cleaning
UC00000016,2024-07,0.10954452891515956,Low,Delhi NCR,home_cleaning
