feature,correlation_with_target,abs_correlation
kyc_flag,0.28262280930948935,0.28262280930948935
multi_product_adoption,0.13901363214533477,0.13901363214533477
digital_tool_usage,0.09679370736139029,0.09679370736139029
region_North,0.08846369739040291,0.08846369739040291
category_home_cleaning,0.07178989129018665,0.07178989129018665
city_Ahmedabad,-0.06548137135655428,0.06548137135655428
city_Mumbai,-0.06381869936013963,0.06381869936013963
city_Hyderabad,-0.06083458801867063,0.06083458801867063
city_Delhi NCR,0.06007015969917434,0.06007015969917434
ai_adoption_score,0.056941127716798524,0.056941127716798524
city_Surat,0.05336761758809053,0.05336761758809053
city_Kolkata,-0.047549393861171886,0.047549393861171886
city_Kochi,0.0433044104176768,0.0433044104176768
category_appliance_repair,-0.04236417344539931,0.04236417344539931
region_West,-0.040329043810677756,0.040329043810677756
city_Jaipur,0.039100376028479766,0.039100376028479766
payment_success_rate,0.03806737441064174,0.03806737441064174
city_Bengaluru,-0.03480264549107839,0.03480264549107839
city_Bhubaneswar,-0.033687754730594384,0.033687754730594384
region_East,-0.03165843376264239,0.03165843376264239
city_Chandigarh,0.03077371734363142,0.03077371734363142
region_South,-0.029793216611450405,0.029793216611450405
city_Patna,0.027615760649521235,0.027615760649521235
category_salon_spa_premium,-0.02601949009167545,0.02601949009167545
city_Pune,0.024973601175928645,0.024973601175928645
category_plumbing_electrical,0.023278826122453945,0.023278826122453945
category_beauty_wellness,-0.02088886300121002,0.02088886300121002
city_Lucknow,0.0203546579723918,0.0203546579723918
city_Guwahati,0.019160744212180628,0.019160744212180628
monthly_income,-0.018821056058426038,0.018821056058426038
repeat_customer_rate,0.018249901075011177,0.018249901075011177
avg_ticket,-0.01550925134876133,0.01550925134876133
city_Chennai,0.012167741050807333,0.012167741050807333
agent_usage_flag,0.011392973534775403,0.011392973534775403
tenure_days,0.005202872958591872,0.005202872958591872
transaction_velocity,-0.00021103772144120747,0.00021103772144120747
