merchant_id,month,income_growth_pct,monthly_profit,retention_flag,churn_probability,treatment_flag,post_treatment_flag,lock_in_score,technology_adoption_score,advancement_score,agentic_intelligence_score,forecast_usage
UC00000002,2024-11,-1.0,0.0,False,1.0,False,False,0.0,0.782,0.0,0.6439,False
UC00000002,2024-12,-1.0,0.0,False,1.0,False,False,0.0,0.792,0.0,0.6559,False
UC00000002,2025-01,-1.0,0.0,False,1.0,False,False,0.0,0.802,0.0,0.6679,False
UC00000002,2025-02,-1.0,0.0,False,1.0,False,False,0.0,0.812,0.0,0.6799,False
UC00000002,2025-03,-1.0,0.0,False,1.0,False,False,0.0,0.822,0.0,0.6919,False
UC00000002,2025-04,-1.0,0.0,False,1.0,False,False,0.0,0.832,0.0,0.7039,False
UC00000002,2025-05,-1.0,0.0,False,1.0,False,False,0.0,0.842,0.0,0.7159,False
UC00000002,2025-06,-1.0,0.0,False,1.0,False,False,0.0,0.852,0.0,0.7279,False
UC00000002,2025-07,-1.0,0.0,False,1.0,False,False,0.0,0.862,0.0,0.7399,False
UC00000002,2025-08,-1.0,0.0,False,1.0,False,False,0.0,0.872,0.0,0.7519,False
UC00000002,2025-09,-1.0,0.0,False,1.0,False,False,0.0,0.882,0.0,0.7639,False
UC00000002,2025-10,-1.0,0.0,False,1.0,False,False,0.0,0.892,0.0,0.7759,False
UC00000002,2025-11,-1.0,0.0,False,1.0,False,False,0.0,0.902,0.0,0.7879,False
UC00000002,2025-12,-1.0,0.0,False,1.0,False,False,0.0,0.912,0.0,0.7999,False
UC00000002,2026-01,-1.0,0.0,False,1.0,False,False,0.0,0.922,0.0,0.8119,False
UC00000002,2026-02,-1.0,0.0,False,1.0,False,False,0.0,0.932,0.0,0.8239,False
UC00000002,2026-03,-1.0,0.0,False,1.0,False,False,0.0,0.942,0.0,0.8359,False
UC00000002,2026-04,-1.0,0.0,False,1.0,False,False,0.0,0.952,0.0,0.8479,False
UC00000002,2026-05,-1.0,0.0,False,1.0,False,False,0.0,0.962,0.0,0.8599,False
UC00000003,2025-05,-1.0,0.0,False,1.0,True,True,0.0,0.8201,0.0,0.5674,False
UC00000003,2025-06,-1.0,0.0,False,1.0,True,True,0.0,0.8301,0.0,0.5794,False
UC00000003,2025-07,-1.0,0.0,False,1.0,True,True,0.0,0.8401,0.0,0.5914,False
UC00000003,2025-08,-1.0,0.0,False,1.0,True,True,0.0,0.8501,0.0,0.6034,False
