merchant_id,month,target_month,adoption_probability,predicted_class,actual,model_name,split,income_growth_pct,monthly_profit,adoption_bin
UC00000001,2024-01,2024-02,0.6472054634504242,1,0.0,embedded_finance_adoption,train,-0.2366,16583.21,High
UC00000001,2024-02,2024-03,0.6472054634504242,1,0.0,embedded_finance_adoption,train,-0.5214,11261.82,High
UC00000001,2024-03,2024-04,0.6472054634504242,1,0.0,embedded_finance_adoption,train,-0.3773,14315.78,High
UC00000001,2024-04,2024-05,0.6472054634504242,1,0.0,embedded_finance_adoption,train,-0.1803,15892.99,High
UC00000001,2024-05,2024-06,0.6472054634504242,1,0.0,embedded_finance_adoption,train,-0.5764,8775.85,High
UC00000001,2024-06,2024-07,0.6472054634504242,1,0.0,embedded_finance_adoption,train,0.0831,27043.56,High
UC00000001,2024-07,2024-08,0.6472054634504242,1,0.0,embedded_finance_adoption,train,-0.1771,20898.65,High
UC00000001,2024-08,2024-09,0.6472054634504242,1,0.0,embedded_finance_adoption,train,-0.091,19046.62,High
UC00000001,2024-09,2024-10,0.6472054634504242,1,0.0,embedded_finance_adoption,train,0.0476,24577.31,High
UC00000001,2024-10,2024-11,0.6472054634504242,1,0.0,embedded_finance_adoption,train,-0.1526,21050.5,High
UC00000001,2024-11,2024-12,0.6472054634504242,1,0.0,embedded_finance_adoption,train,-0.0186,21227.96,High
UC00000001,2024-12,2025-01,0.6472054634504242,1,0.0,embedded_finance_adoption,train,-0.1911,20149.68,High
UC00000001,2025-01,2025-02,0.6472054634504242,1,0.0,embedded_finance_adoption,train,-0.2395,16518.85,High
UC00000001,2025-02,2025-03,0.6472054634504242,1,0.0,embedded_finance_adoption,train,-0.0298,24148.14,High
UC00000001,2025-03,2025-04,0.6472054634504242,1,0.0,embedded_finance_adoption,train,-0.2554,18905.41,High
UC00000001,2025-04,2025-05,0.6472054634504242,1,0.0,embedded_finance_adoption,train,-0.0548,23343.34,High
UC00000001,2025-05,2025-06,0.6472054634504242,1,0.0,embedded_finance_adoption,train,-0.1713,17609.8,High
UC00000001,2025-06,2025-07,0.6472054634504242,1,0.0,embedded_finance_adoption,train,-0.1767,17130.25,High
UC00000001,2025-07,2025-08,0.6472054634504242,1,0.0,embedded_finance_adoption,train,-0.4917,13150.96,High
UC00000001,2025-08,2025-09,0.6472054634504242,1,0.0,embedded_finance_adoption,train,-0.1035,23447.48,High
UC00000001,2025-09,2025-10,0.6472054634504242,1,0.0,embedded_finance_adoption,train,-0.036,19642.31,High
