merchant_id,month,target_month,default_probability,predicted_class,split,risk_band,city,business_type,predicted_income_growth,growth_segment,risk_segment,opportunity_quadrant
UC00000001,2024-01,2024-02,0.5070718134059693,0,train,Medium,Hyderabad,salon_spa_premium,-0.2965567635833234,Low growth,Low risk,Low growth + Low risk
UC00000001,2024-02,2024-03,0.3918778755855159,0,train,Medium,Hyderabad,salon_spa_premium,-0.2002191067187784,Low growth,Low risk,Low growth + Low risk
UC00000001,2024-03,2024-04,0.3455353250986679,0,train,Medium,Hyderabad,salon_spa_premium,-0.204637782292056,Low growth,Low risk,Low growth + Low risk
UC00000001,2024-04,2024-05,0.309581024888689,0,train,Medium,Hyderabad,salon_spa_premium,-0.225211301024198,Low growth,Low risk,Low growth + Low risk
UC00000001,2024-05,2024-06,0.2869046945335916,0,train,Low,Hyderabad,salon_spa_premium,-0.2230910126723628,Low growth,Low risk,Low growth + Low risk
UC00000001,2024-06,2024-07,0.3818016250080615,0,train,Medium,Hyderabad,salon_spa_premium,-0.1879116186002726,Low growth,Low risk,Low growth + Low risk
UC00000001,2024-07,2024-08,0.3408254624392052,0,train,Medium,Hyderabad,salon_spa_premium,-0.2090641451561043,Low growth,Low risk,Low growth + Low risk
UC00000001,2024-08,2024-09,0.2836531386589111,0,train,Low,Hyderabad,salon_spa_premium,-0.1585891794640652,Low growth,Low risk,Low growth + Low risk
UC00000001,2024-09,2024-10,0.3860112886659544,0,train,Medium,Hyderabad,salon_spa_premium,-0.1620003802561465,Low growth,Low risk,Low growth + Low risk
UC00000001,2024-10,2024-11,0.4416166670905208,0,train,Medium,Hyderabad,salon_spa_premium,-0.1635550992084298,Low growth,Low risk,Low growth + Low risk
UC00000001,2024-11,2024-12,0.4358227810202321,0,train,Medium,Hyderabad,salon_spa_premium,-0.1509337677212834,Low growth,Low risk,Low growth + Low risk
UC00000001,2024-12,2025-01,0.6762893701557059,1,train,Medium,Hyderabad,salon_spa_premium,-0.1495799499820373,Low growth,Low risk,Low growth + Low risk
UC00000001,2025-01,2025-02,0.4031555539552612,0,train,Medium,Hyderabad,salon_spa_premium,-0.1567902933982789,Low growth,Low risk,Low growth + Low risk
UC00000001,2025-02,2025-03,0.6090477285289281,0,train,Medium,Hyderabad,salon_spa_premium,-0.162320792304997,Low growth,Low risk,Low growth + Low risk
UC00000001,2025-03,2025-04,0.3101756998872398,0,train,Medium,Hyderabad,salon_spa_premium,-0.1749678750147568,Low growth,Low risk,Low growth + Low risk
UC00000001,2025-04,2025-05,0.4216530362206428,0,train,Medium,Hyderabad,salon_spa_premium,-0.1407108384336153,Low growth,Low risk,Low growth + Low risk
UC00000001,2025-05,2025-06,0.2852601131112769,0,train,Low,Hyderabad,salon_spa_premium,-0.1602722041743371,Low growth,Low risk,Low growth + Low risk
UC00000001,2025-06,2025-07,0.4361360764744475,0,train,Medium,Hyderabad,salon_spa_premium,-0.1288673231497382,High growth,Low risk,High growth + Low risk
UC00000001,2025-07,2025-08,0.3676610267135389,0,train,Medium,Hyderabad,salon_spa_premium,-0.1378968967018486,High growth,Low risk,High growth + Low risk
UC00000001,2025-08,2025-09,0.461727428027296,0,train,Medium,Hyderabad,salon_spa_premium,-0.1229639004190538,High growth,Low risk,High growth + Low risk
UC00000001,2025-09,2025-10,0.4964826749559912,0,train,Medium,Hyderabad,salon_spa_premium,-0.1385951907798426,High growth,Low risk,High growth + Low risk
UC00000001,2025-10,2025-11,0.4597031291923235,0,train,Medium,Hyderabad,salon_spa_premium,-0.1255515694609657,High growth,Low risk,High growth + Low risk
UC00000001,2025-11,2025-12,0.3771029449497628,0,test,Medium,Hyderabad,salon_spa_premium,-0.1323910472837678,High growth,Low risk,High growth + Low risk
UC00000001,2025-12,2026-01,0.510939861648093,0,test,Medium,Hyderabad,salon_spa_premium,-0.1373863569977088,High growth,Low risk,High growth + Low risk
UC00000001,2026-01,2026-02,0.4688608700683809,0,test,Medium,Hyderabad,salon_spa_premium,-0.13508958769269,High growth,Low risk,High growth + Low risk
UC00000001,2026-02,2026-03,0.5130066136752757,0,test,Medium,Hyderabad,salon_spa_premium,-0.1460349577567722,Low growth,Low risk,Low growth + Low risk
UC00000001,2026-03,2026-04,0.5615427431690433,0,test,Medium,Hyderabad,salon_spa_premium,-0.1172959498375472,High growth,Low risk,High growth + Low risk
UC00000001,2026-04,2026-05,0.3696117917676981,0,test,Medium,Hyderabad,salon_spa_premium,-0.1287037367356769,High growth,Low risk,High growth + Low risk
UC00000002,2024-01,2024-02,0.4965248195810823,0,train,Medium,Jaipur,beauty_wellness,-0.2655850479323247,Low growth,Low risk,Low growth + Low risk
UC00000002,2024-02,2024-03,0.3407523143072772,0,train,Medium,Jaipur,beauty_wellness,-0.1749437782075122,Low growth,Low risk,Low growth + Low risk
UC00000002,2024-03,2024-04,0.3911114221103301,0,train,Medium,Jaipur,beauty_wellness,-0.154082595463649,Low growth,Low risk,Low growth + Low risk
UC00000002,2024-04,2024-05,0.367699482595241,0,train,Medium,Jaipur,beauty_wellness,-0.1578873651994077,Low growth,Low risk,Low growth + Low risk
UC00000002,2024-05,2024-06,0.3915469458152328,0,train,Medium,Jaipur,beauty_wellness,-0.1587134332533621,Low growth,Low risk,Low growth + Low risk
UC00000002,2024-06,2024-07,0.4351673455045334,0,train,Medium,Jaipur,beauty_wellness,-0.15731370154208,Low growth,Low risk,Low growth + Low risk
