feature,mean_abs_shap
settlement_delay_days,2.2653555915881287
cashflow_issue,0.622162274242986
kyc_flag,0.5080362643210599
business_growth_after_digital,0.3933383424475455
needed_business_credit_binary,0.24742359704024222
category_home_cleaning,0.11146106219863688
category_appliance_repair,0.08895526267233025
city_Chennai,0.07906209213429372
category_plumbing_electrical,0.07510364123466964
tenure_days,0.07507100862187033
loan_history,0.07208834140076292
city_Kolkata,0.06865817300854382
avg_ticket,0.06384486713820393
category_salon_spa_premium,0.05495210208875668
city_Surat,0.05275261496112381
platform_commission_pct,0.047604137773325214
category_beauty_wellness,0.04014246085434786
transaction_velocity,0.04006939462029567
payment_success_rate,0.03822260086187306
UPI_usage_frequency,0.03626863897825521
region_South,0.034405670950599945
region_East,0.031129201950053236
city_Bengaluru,0.030964683514847123
ai_adoption_score,0.029487423282961805
city_Ahmedabad,0.026214397126024264
city_Delhi NCR,0.022169721929798818
city_Hyderabad,0.021029519772115222
digital_tool_usage,0.020939357096481672
digital_adoption_score,0.020939357096481672
multi_product_adoption,0.020375924896605547
monthly_income,0.018626358020522562
city_Mumbai,0.017186507679496723
repeat_customer_rate,0.015564894340201025
repeat_customer_change,0.015564894340201025
agent_usage_flag,0.01491500669105773
region_West,0.013832902427827655
city_Kochi,0.013440141910105815
region_North,0.013014777517087715
city_Chandigarh,0.011811098008044599
city_Pune,0.008341725519644407
city_Patna,0.007960963851250362
city_Lucknow,0.006573476133362368
city_Bhubaneswar,0.004789931696872724
city_Jaipur,0.004221389745052764
city_Guwahati,0.002534862996873059
