feature,coefficient,importance
kyc_flag,0.9355526806992156,0.9355526806992156
tenure_days,0.24723591303847484,0.24723591303847484
category_plumbing_electrical,-0.17103064640849608,0.17103064640849608
category_appliance_repair,-0.15699090389601753,0.15699090389601753
category_salon_spa_premium,0.15043754620361427,0.15043754620361427
city_Surat,0.11905552085665982,0.11905552085665982
category_home_cleaning,0.11100455929366086,0.11100455929366086
multi_product_adoption,0.10671024304177848,0.10671024304177848
city_Kolkata,-0.10470401937186588,0.10470401937186588
city_Kochi,0.1012638177842456,0.1012638177842456
city_Chennai,0.07550648505063329,0.07550648505063329
category_beauty_wellness,0.07290358673962372,0.07290358673962372
transaction_velocity,0.07285732327635819,0.07285732327635819
monthly_income,-0.06875965177319929,0.06875965177319929
city_Ahmedabad,-0.06552787142363585,0.06552787142363585
city_Hyderabad,-0.06502498602224938,0.06502498602224938
agent_usage_flag,-0.06346708426542742,0.06346708426542742
region_East,-0.061850428382474794,0.061850428382474794
digital_tool_usage,0.053935828231173155,0.053935828231173155
region_South,0.04813000172870904,0.04813000172870904
city_Mumbai,-0.044537127654738363,0.044537127654738363
repeat_customer_rate,0.044508586433485334,0.044508586433485334
platform_commission_pct,-0.04084818203843846,0.04084818203843846
payment_success_rate,-0.039100964991748005,0.039100964991748005
avg_ticket,-0.020851825400462667,0.020851825400462667
city_Patna,0.019685890904894917,0.019685890904894917
city_Pune,0.016277773377815222,0.016277773377815222
city_Guwahati,0.01002163927358787,0.01002163927358787
city_Bengaluru,-0.0096148292110258,0.0096148292110258
city_Bhubaneswar,-0.00702126299010957,0.00702126299010957
city_Jaipur,-0.006998327938755699,0.006998327938755699
city_Lucknow,-0.006035737372864564,0.006035737372864564
region_North,-0.004700962014743072,0.004700962014743072
region_West,-0.0032763042948636746,0.0032763042948636746
city_Chandigarh,0.0031193027947976184,0.0031193027947976184
city_Delhi NCR,0.0013071890709240438,0.0013071890709240438
ai_adoption_score,-0.0009481097385700811,0.0009481097385700811
