model,feature,coefficient,importance
embedded_finance_adoption,treatment_flag,1.4296843860635402,1.4296843860635402
embedded_finance_adoption,post_treatment_flag,1.426911553764867,1.426911553764867
embedded_finance_adoption,months_since_intervention,1.186320417770705,1.186320417770705
embedded_finance_adoption,treatment_start_month,0.7714642281298714,0.7714642281298714
embedded_finance_adoption,tenure_days,0.2422725034635038,0.2422725034635038
embedded_finance_adoption,payout_delay_days_lag1_imputed,-0.21938101661928375,0.21938101661928375
embedded_finance_adoption,lock_in_score_lag1,0.20815751586788434,0.20815751586788434
embedded_finance_adoption,kyc_flag,0.20018198057497147,0.20018198057497147
embedded_finance_adoption,payout_delay_days_rolling3,-0.1539817242974057,0.1539817242974057
embedded_finance_adoption,pre_treatment_flag,0.1360964966566672,0.1360964966566672
embedded_finance_adoption,category_plumbing_electrical,-0.12558436081711444,0.12558436081711444
embedded_finance_adoption,category_beauty_wellness,0.12427182865063138,0.12427182865063138
embedded_finance_adoption,category_appliance_repair,-0.11248339755989288,0.11248339755989288
embedded_finance_adoption,rating_rolling3,0.09914290041777071,0.09914290041777071
embedded_finance_adoption,platform_commission_pct,0.09329212958754823,0.09329212958754823
embedded_finance_adoption,loan_amount_lag1,0.09088554632289293,0.09088554632289293
embedded_finance_adoption,city_Kochi,0.08409809731862344,0.08409809731862344
embedded_finance_adoption,city_Chennai,0.083709383126219,0.083709383126219
embedded_finance_adoption,region_South,0.08120952574276145,0.08120952574276145
embedded_finance_adoption,working_capital_gap_lag1,-0.08054026055946575,0.08054026055946575
embedded_finance_adoption,payout_volatility_rolling3,0.07925921627627716,0.07925921627627716
embedded_finance_adoption,technology_adoption_score_lag1,0.07752283898985819,0.07752283898985819
embedded_finance_adoption,category_salon_spa_premium,0.07294072925224297,0.07294072925224297
embedded_finance_adoption,city_Surat,0.0705054612874053,0.0705054612874053
embedded_finance_adoption,cancellation_rate_rolling3,-0.06897239731332128,0.06897239731332128
embedded_finance_adoption,month_index,0.06697688272394972,0.06697688272394972
embedded_finance_adoption,region_East,-0.06513923339359075,0.06513923339359075
embedded_finance_adoption,income_growth_pct_lag1,-0.05999710922367557,0.05999710922367557
embedded_finance_adoption,city_Jaipur,-0.05173614382898361,0.05173614382898361
embedded_finance_adoption,city_Patna,-0.05139014853045551,0.05139014853045551
embedded_finance_adoption,loan_offer_flag_lag1,0.0502504707790996,0.0502504707790996
embedded_finance_adoption,region_North,-0.04674023052323263,0.04674023052323263
embedded_finance_adoption,active_provider_month_flag_lag1,0.04555623426162838,0.04555623426162838
embedded_finance_adoption,monthly_income,0.04424412041605376,0.04424412041605376
embedded_finance_adoption,transaction_velocity,0.04273073037101827,0.04273073037101827
embedded_finance_adoption,city_Kolkata,-0.03720295576299917,0.03720295576299917
embedded_finance_adoption,repeat_customer_rate,0.03593942172085067,0.03593942172085067
embedded_finance_adoption,working_capital_gap_rolling3,-0.034591165717510565,0.034591165717510565
embedded_finance_adoption,city_Pune,-0.031631058894713016,0.031631058894713016
embedded_finance_adoption,avg_ticket,0.03151606703605066,0.03151606703605066
embedded_finance_adoption,city_Hyderabad,-0.029760621370830992,0.029760621370830992
embedded_finance_adoption,agent_usage_flag,-0.02722281704441691,0.02722281704441691
embedded_finance_adoption,category_home_cleaning,0.026131505431388626,0.026131505431388626
embedded_finance_adoption,ai_adoption_score,-0.025216020684010597,0.025216020684010597
embedded_finance_adoption,city_Guwahati,-0.021915758465856996,0.021915758465856996
embedded_finance_adoption,city_Bhubaneswar,-0.019931187610923377,0.019931187610923377
embedded_finance_adoption,city_Delhi NCR,-0.017550320604906435,0.017550320604906435
embedded_finance_adoption,city_Bengaluru,0.015756234828848175,0.015756234828848175
embedded_finance_adoption,agentic_intelligence_score_lag1,0.015115792786046623,0.015115792786046623
embedded_finance_adoption,payment_success_rate,0.013364933741564666,0.013364933741564666
embedded_finance_adoption,multi_product_adoption,0.011026198645097473,0.011026198645097473
embedded_finance_adoption,city_Lucknow,-0.009763008128587236,0.009763008128587236
embedded_finance_adoption,region_West,0.0087401967801652,0.0087401967801652
embedded_finance_adoption,city_Ahmedabad,-0.007098042805625042,0.007098042805625042
embedded_finance_adoption,city_Chandigarh,-0.005768779794648262,0.005768779794648262
embedded_finance_adoption,forecast_usage_lag1,-0.004891057486934004,0.004891057486934004
embedded_finance_adoption,digital_tool_usage,0.003725544049534918,0.003725544049534918
embedded_finance_adoption,city_Mumbai,-0.0008949433677896882,0.0008949433677896882
